Timestamp,Available,Total._avg (B),Use._avg (B),Available(GB),Total._avg (GB),Use._avg (GB)
1633003200,5231930721,23522713600,18290782879,4.872615189,21.90723419,17.034619
1633006800,5166029978,23522713600,18356683622,4.81124034,21.90723419,17.09599385
1633010400,5192001300,23522713600,18330712300,4.835428018,21.90723419,17.07180617
1633014000,5184486287,23522713600,18338227313,4.828429117,21.90723419,17.07880508
1633017600,5230504566,23522713600,18292209034,4.871286979,21.90723419,17.03594721
1633021200,5208319877,23522713600,18314393723,4.850625877,21.90723419,17.05660831
1633075200,12690905354,23522713600,10831808246,11.81932665,21.90723419,10.08790754
1633078800,8834863508,23522713600,14687850092,8.228107829,21.90723419,13.67912636
1633082400,7924174986,23522713600,15598538614,7.37996305,21.90723419,14.52727114
1633086000,7621852129,23522713600,15900861471,7.098402948,21.90723419,14.80883124
1633089600,7383295063,23522713600,16139418537,6.876229367,21.90723419,15.03100482
1633093200,6738401096,23522713600,16784312504,6.275625058,21.90723419,15.63160913
1633096800,5467836344,23522713600,18054877256,5.092319421,21.90723419,16.81491477
1633100400,5403473961,23522713600,18119239639,5.032377281,21.90723419,16.87485691
1633330800,9816829983,22389408297,12572578314,9.142635374,20.85176138,11.709126
1633334400,8341229563,23522709504,15181479941,7.768375392,21.90723038,14.13885499
1633338000,7867655368,23522709504,15655054136,7.327325054,21.90723038,14.57990532
1633341600,5379571369,23522709504,18143138135,5.010116258,21.90723038,16.89711412
1633345200,4413598126,23522709504,19109111378,4.11048357,21.90723038,17.79674681
1633348800,4441452457,23522709504,19081257047,4.136424937,21.90723038,17.77080544
1633352400,4162465132,23522709504,19360244372,3.876597743,21.90723038,18.03063263
1633356000,3980042199,23522709504,19542667305,3.706703148,21.90723038,18.20052723
1633359600,3933737405,23522709504,19588972099,3.663578448,21.90723038,18.24365193
1633363200,3822510899,23522709504,19700198605,3.559990692,21.90723038,18.34723969
1633366800,3824489784,23522709504,19698219720,3.561833672,21.90723038,18.3453967
1633370400,3764679695,23522709504,19758029809,3.506131186,21.90723038,18.40109919
1633374000,3807732874,23522709504,19714976630,3.546227584,21.90723038,18.36100279
1633377600,3823245194,23522709504,19699464310,3.560674557,21.90723038,18.34655582
1633381200,3829673861,23522709504,19693035643,3.56666172,21.90723038,18.34056866
1633384800,3830797563,23522709504,19691911941,3.567708249,21.90723038,18.33952213
1633388400,3818818831,23522709504,19703890673,3.556552186,21.90723038,18.35067819
1633392000,3794370975,23522709504,19728338529,3.533783345,21.90723038,18.37344703
1633395600,3823962593,23522709504,19698746911,3.561342687,21.90723038,18.34588769
1633399200,3790414454,23522709504,19732295050,3.530098548,21.90723038,18.37713183
1633402800,3768477133,23522709504,19754232371,3.509667826,21.90723038,18.39756255
1633406400,3735208740,23522709504,19787500764,3.47868422,21.90723038,18.42854616
1633410000,3702920607,23522709504,19819788897,3.448613553,21.90723038,18.45861682
1633413600,3653844413,23522709504,19868865091,3.402907786,21.90723038,18.50432259
1633417200,3547920737,23522709504,19974788767,3.304258675,21.90723038,18.6029717
1633420800,3680635208,23522709504,19842074296,3.427858658,21.90723038,18.47937172
1633424400,3377496515,23522709504,20145212989,3.14553875,21.90723038,18.76169163
1633428000,3333628785,23522709504,20189080719,3.104683743,21.90723038,18.80254663
1633431600,3323194184,23522709504,20199515320,3.094965763,21.90723038,18.81226461
1633435200,3391784786,23522709504,20130924718,3.158845739,21.90723038,18.74838464
1633438800,3400799503,23522709504,20121910001,3.167241349,21.90723038,18.73998903
1633442400,3350791578,23522709504,20171917926,3.120667839,21.90723038,18.78656254
1633446000,3933232809,23522709504,19589476695,3.663108506,21.90723038,18.24412187
1633449600,3903991081,23522709504,19618718423,3.635875025,21.90723038,18.27135535
1633496400,9531639168,23522709504,13991070336,8.87703073,21.90723038,13.03019965
1633500000,8092467645,23522709504,15430241859,7.536697802,21.90723038,14.37053258
1633503600,7515158497,23522709504,16007551007,6.99903676,21.90723038,14.90819362
1633507200,7083984420,23522709504,16438725084,6.597474609,21.90723038,15.30975577
1633510800,7062940278,23522709504,16459769226,6.577875724,21.90723038,15.32935465
1633514400,6937954412,23522709504,16584755092,6.461473566,21.90723038,15.44575681
1633518000,4966899799,23522709504,18555809705,4.625785909,21.90723038,17.28144447
1633521600,4467838070,23522709504,19054871434,4.160998454,21.90723038,17.74623192
1633525200,4182031268,23522709504,19340678236,3.894820128,21.90723038,18.01241025
1633528800,5198658514,23522709504,18324050990,4.841628032,21.90723038,17.06560235
1633532400,5517850772,23522709504,18004858732,5.138898987,21.90723038,16.76833139
1633536000,5526119767,23522709504,17996589737,5.146600089,21.90723038,16.76063029
1633539600,5538613233,23522709504,17984096271,5.158235536,21.90723038,16.74899484
1633586400,19369233260,23522713600,4153480340,18.03900419,21.90723419,3.868230004
1633590000,8565186012,23522713600,14957527588,7.976951089,21.90723419,13.9302831
1633593600,6092912266,23522713600,17429801334,5.674466738,21.90723419,16.23276745
1633597200,5943040143,23522713600,17579673457,5.534887447,21.90723419,16.37234674
1633600800,5953971901,23522713600,17568741699,5.54506844,21.90723419,16.36216575
1633604400,5874374246,23522713600,17648339354,5.470937347,21.90723419,16.43629684
