Timestamp,Available(GB),,,,Total._avg (GB),Use._avg (GB),,,,
1634124000,0,,,,0,0,,,,
1634126400,12.64901466,,,,24.36791102,11.71889636,,,,
1634130000,12.54708577,,,,24.36791102,11.82082525,,,,
1634133600,12.54065996,,,,24.36791102,11.82725106,,,,
1634137200,12.57831559,,,,24.36791102,11.78959543,,,,
1634140800,12.55462716,,,,24.36791102,11.81328386,,,,
1634187600,15.81431661,,,,23.97344281,8.159126196,,,,
1634191200,13.98543375,,,,24.36791102,10.38247727,,,,
1634194800,13.54701612,,,,24.36791102,10.82089491,,,,9.31323E-10
1634198400,13.35601992,,,,24.36791102,11.0118911,,,,
1634202000,13.26071403,,,,24.36791102,11.10719699,,,,
1634205600,13.18970362,,,,24.36791102,11.1782074,,,,
1634209200,13.13816475,,,,24.36791102,11.22974627,,,,
1634212800,13.09032266,,,,24.36791102,11.27758836,,,,
1634216400,13.05314403,,,,24.36791102,11.31476699,,,,
1634220000,12.9951103,,,,24.36791102,11.37280072,,,,
1634223600,12.94109785,,,,24.36791102,11.42681317,,,,
1634227200,12.93955215,,,,24.36791102,11.42835887,,,,
1634540400,16.15456514,,,,23.7480324,7.593467267,,,,
1634544000,14.00055461,,,,24.36791102,10.36735641,,,,
1634547600,13.51944943,,,,24.36791102,10.84846159,,,,
1634551200,13.36065679,,,,24.36791102,11.00725423,,,,
1634554800,13.26293506,,,,24.36791102,11.10497596,,,,
1634558400,13.20150214,,,,24.36791102,11.16640888,,,,
1634562000,12.97221565,,,,24.36791102,11.39569537,,,,
1634565600,12.92611308,,,,24.36791102,11.44179794,,,,
1634569200,12.90651133,,,,24.36791102,11.46139969,,,,
1634572800,12.85853588,,,,24.36791102,11.50937514,,,,
1634576400,12.806544,,,,24.36791102,11.56136703,,,,
1634626800,19.84559582,,,,23.25212951,3.406533693,,,,
1634630400,18.74997734,,,,24.36791102,5.61793368,,,,
1634634000,13.11792333,,,,24.36791102,11.24998769,,,,
1634637600,12.71726092,,,,24.36791102,11.6506501,,,,
1634641200,12.44394315,,,,24.36791102,11.92396787,,,,
1634644800,12.41586663,,,,24.36791102,11.95204439,,,,
1634648400,12.35803887,,,,24.36791102,12.00987215,,,,
1634652000,12.33256035,,,,24.36791102,12.03535067,,,,
1634655600,13.85151596,,,,23.09645808,9.244942122,,,,
1634713200,19.78643338,,,,25.59824944,5.811816053,,,,
1634716800,17.53262754,,,,25.59824944,8.065621891,,,,
1634720400,17.15536051,,,,25.59824944,8.442888923,,,,
1634724000,17.00019722,,,,25.59824944,8.598052211,,,,
1634727600,16.92986961,,,,25.59824944,8.668379827,,,,
1634731200,16.22469211,,,,25.59824944,9.373557327,,,,
1634734800,16.26051045,,,,25.59824944,9.337738984,,,,
1634738400,16.25607873,,,,25.59824944,9.342170701,,,,
1634742000,16.24064429,,,,25.59824944,9.35760515,,,,
1634745600,16.22749825,,,,25.59824944,9.370751181,,,,
1634799600,18.93852603,,,,25.27638938,6.337863352,,,,
1634803200,17.30579263,,,,25.59824944,8.292456808,,,,
1634806800,16.59828785,,,,25.59824944,8.999961581,,,,
1634810400,16.54730451,,,,25.59824944,9.050944927,,,,
1634814000,16.54474941,,,,25.59824944,9.053500025,,,,
1634817600,16.53963661,,,,25.59824944,9.058612828,,,,
